Datum,02.12.24
Uhrzeit,10:49:54
[Auftragsdaten]
Pruefauftragsnummer     ,824902015333.mpg
Kommentar1              ,
Kommentar2              ,
Kommentar3              ,
Kommentar4              ,
Fuelldruck              ,
Kunde                   ,VW
Kundennummer            ,
Typ                     ,TAREK
Teilenummer             ,
Fahrzeugachse           ,
VANummer                ,
Ventilbestnummer        ,
Oelsorte                ,
OelfuellmengeCCM        ,
OelfuellmengeG          ,
Montageart              ,
Kennzeichnung           ,
Prueflingstartnummer    ,1
Prueflinganzahl         ,1000
Auswerteverfahren       ,Produktion
Auswertefenster         ,50
Maximalkraft            ,1150
Kolbenstangendurchm     ,25
Pruefer                 ,
Einricht-Teil 1         ,
Einricht-Teil 2         ,
Einricht-Teil 3         ,
Einricht-Teil 4         ,
Einricht-Teil 5         ,
Einricht-Teil 6         ,
Einricht-Teil 7         ,
Einricht-Teil 8         ,
Einricht-Teil 9         ,
Einricht-Teil 10        ,
Greifposition           ,1300
Grundstellungsposition  ,1475
Ausziehposition         ,1325

[Messprogrammseite 1]
Zyklen,Hub,Mittelpos,Geschw,ZugOG-A1,ZugUG-A1,DruckOG-A1,DruckUG-A1
1,75,1330,0.262,0,0,0,0,4621242,4613528,4200380,4580856
0,4,10,0.005,0,0,1000,0,4621242,4613528,4200380,4580856
0,0,0,0.000,0,0,10000,0,4621242,4613528,4200380,4580856
1,75,1365,0.524,10000,0,10000,0,4621242,4613528,4200380,4580856
0,50,1330,0.050,320,210,760,570,4621242,4613528,4200380,4580856
1,50,1330,0.100,820,630,1140,890,4621242,4613528,4200380,4580856
0,50,1330,0.200,1670,1320,1490,1170,4621242,4613528,4200380,4580856
0,50,1340,0.300,2070,1640,1780,1410,4621242,4613528,4200380,4580856
1,75,1340,0.400,2370,1890,2050,1640,4621242,4613528,4200380,4580856
# QSStat

Datum,Uhrzeit,Achse,Bewertung,Nummer,Reibung,Ask,Temp,Barcode,Ventil,ZugV1,DruckV1,ZugV2,DruckV2,ZugV3,DruckV3,ZugV4,DruckV4,ZugV5,DruckV5,ZugV6,DruckV6,ZugV7,DruckV7,ZugV8,DruckV8,ZugV9,DruckV9,ZugV10,DruckV10
02.12.24,10:49:54,A1,NIO,1,0,0,0, ,VE1,2391,2084,   0,   0, 627, 821,   0,   0,   0,   0,1928,1746,   0,   0,   0,   0,   0,   0,   0,   0,
02.12.24,10:50:21,A1,IO,2,0,0,0, ,VE1,2607,2170,   0,   0, 646, 890,   0,   0,   0,   0,2139,1828,   0,   0,   0,   0,   0,   0,   0,   0,
02.12.24,10:50:48,A1,IO,3,0,0,0, ,VE1,2535,2218,   0,   0, 681, 930,   0,   0,   0,   0,2006,1865,   0,   0,   0,   0,   0,   0,   0,   0,
02.12.24,10:51:07,A1,IO,4,0,0,0, ,VE1,2421,2160,   0,   0, 692, 905,   0,   0,   0,   0,1919,1806,   0,   0,   0,   0,   0,   0,   0,   0,
02.12.24,10:53:36,A1,NIO,5,0,0,0, ,VE1,2395,2089,   0,   0, 585, 749,   0,   0,   0,   0,2083,1710,   0,   0,   0,   0,   0,   0,   0,   0,
